IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5
Radiant Cash Management Services,04-Jan-23,Cash Logistics / BFSI,35,99,103.0,104.9,4.040404040404041,5.9595959595959656,1.9191919191919249,1.01,0.66,0.21,0.04,0.11,0.53,0.0,0.0,0.0,0.0,0.0,17.0,0.21,26.26,20.73,1.5447058823529414,-1.28,-2.52,-2.45,-2.46,256.64,54.0,202.64,0,0,0,0,0
Sah Polymers,12-Jan-23,Plastics / Packaging,10,65,85.0,89.25,30.76923076923077,37.30769230769231,6.5384615384615365,2.4,32.69,39.78,0.86,2.37,17.46,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,18.46153846153846,22.5,1.15,23.13,9.61,1.028,0.76,0.01,-0.22,1.18,66.3,66.3,0.0,5,5,5,5,12
Divgi TorqTransfer Systems,14-Mar-23,Auto Components / Torque Systems,10,590,620.0,605.2,5.084745762711864,2.5762711864406858,-2.5084745762711784,7.83,1.4,4.31,0.12,0.38,5.44,8.474576271186441,8.474576271186441,8.474576271186441,8.474576271186441,8.474576271186441,24.0,0.0,35.2,28.07,1.4666666666666668,-3.11,-3.77,-4.55,-2.34,412.12,180.0,232.12,50,50,50,50,50
Global Surfaces,23-Mar-23,Engineered Stone / Surfaces Exports,35,140,164.0,171.1,17.142857142857142,22.21428571428571,5.071428571428569,8.95,33.1,5.12,0.42,1.11,12.21,28.571428571428573,28.571428571428573,28.571428571428573,32.142857142857146,25.0,18.0,0.28,13.31,21.97,0.7394444444444445,0.3,1.06,-3.88,-0.01,154.98,119.28,35.7,40,40,40,45,35
Udayshivakumar Infra,03-Apr-23,Infrastructure / Roads & Bridges,35,35,30.0,31.5,-14.285714285714286,-10.0,4.2857142857142865,40.47,60.42,14.1,0.58,2.2,30.63,28.571428571428573,28.571428571428573,28.571428571428573,42.857142857142854,28.571428571428573,16.0,0.39,10.51,13.41,0.656875,0.8,-0.42,-1.79,0.54,66.0,66.0,0.0,10,10,10,15,10
Avalon Technologies,18-Apr-23,Electronics Manufacturing / EMS,10,436,436.0,398.0,0.0,-8.715596330275229,-8.715596330275229,3.57,0.41,0.84,0.03,0.09,2.21,5.73394495412844,5.73394495412844,5.73394495412844,5.73394495412844,5.73394495412844,38.0,3.64,38.58,10.05,1.0152631578947369,-0.85,-0.35,3.28,1.51,865.0,320.0,545.0,25,25,25,25,25
Mankind Pharma,09-May-23,Branded Pharmaceuticals / FMCG Pharma,35,1080,1300.0,1422.3,20.37037037037037,31.69444444444444,11.324074074074069,49.16,3.8,0.92,0.14,0.87,15.32,6.944444444444445,6.944444444444445,7.87037037037037,6.481481481481482,4.166666666666667,38.0,0.08,30.18,25.75,0.7942105263157895,0.06,0.65,3.79,2.8,4326.36,0.0,4326.36,75,75,85,70,45
Nexus Select Trust,19-May-23,Retail REIT / Mall Assets,10,100,103.0,104.3,3.0,4.299999999999997,1.2999999999999972,4.83,6.22,5.45,0.27,0.57,5.45,5.0,5.0,8.0,8.0,8.0,26.0,,,,0.0,-0.45,-0.61,3.32,-0.34,3200.0,1400.0,1800.0,5,5,8,8,8
IKIO Lighting,16-Jun-23,LED Lighting / Consumer Electricals,35,285,392.5,403.9,37.719298245614034,41.71929824561403,3.999999999999993,163.58,63.35,13.86,1.55,6.83,66.3,29.82456140350877,29.82456140350877,30.87719298245614,35.08771929824562,38.59649122807018,42.5,0.17,36.68,23.3,0.8630588235294118,0.69,0.54,3.37,1.17,606.5,350.0,256.5,85,85,88,100,110
HMA Agro Industries,04-Jul-23,Agro Processing / Meat Exports,35,585,625.0,585.7,6.837606837606837,0.11965811965812743,-6.71794871794871,1.74,2.97,0.96,0.32,0.55,1.62,3.4188034188034186,3.7606837606837606,4.273504273504273,3.7606837606837606,3.4188034188034186,12.0,0.88,23.99,5.7,1.9991666666666665,2.68,3.38,4.25,2.69,480.0,150.0,330.0,20,22,25,22,20
