IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Sentiment Source Note
Indo Farm Equipment,07-Jan-25,Farm Equipment/Tractor,35,215,256,273.69,19.069767441860463,27.29767441860465,8.227906976744187,242.4,501.63,101.52,17.71,54.55,227.51,35.81395348837209,36.27906976744186,37.2093023255814,38.604651162790695,40.46511627906977,42.11,0.85,66.15,16.66,1.56,-0.0035,0.0024,-0.026,0.004099999999999999,0.78,260.15,184.9,75.25,77,78,80,83,87,"Subscribe consensus: Assetkranti, StockSis, IPO Bazaar YT; strong farm-mech GMP; IIFL/Anand Rathi recommend"
Standard Glass Lining,13-Jan-25,Engineering/Industrial,35,140,176,163.28,25.714285714285715,16.62857142857143,-9.085714285714285,331.6,267.94,63.77,13.32,34.85,182.44,60.714285714285715,60.714285714285715,64.28571428571429,67.85714285714286,67.85714285714286,59.06,0.32,38.46,18.36,1.45,0.0152,0.008,-0.0185,-0.0124,0.72,410.05,210.0,200.05,85,85,90,95,95,IIFL/Motilal managed; pharma equip niche; YT Subscribe calls; Nuvama note positive
Quadrant Future Tek,14-Jan-25,Technology/Rail,10,290,370,444.0,27.586206896551722,53.10344827586207,25.51724137931035,132.54,254.16,243.03,15.86,48.99,185.8,56.89655172413793,56.89655172413793,65.51724137931035,65.51724137931035,68.96551724137932,58.52,1.86,59.1,24.15,1.45,-0.0053,-0.0012,-0.0348,0.0031,0.92,290.0,290.0,0.0,165,165,190,190,200,"KAVACH rail theme; Pranjal Kamra, CA Rachana, Assetkranti: Strong Subscribe; massive retail buzz Twitter/X"
Laxmi Dental,20-Jan-25,Healthcare/Dental,10,428,542,550.55,26.635514018691588,28.633177570093448,1.9976635514018604,110.38,147.51,74.41,5.3,16.03,113.97,38.55140186915888,38.55140186915888,38.55140186915888,32.71028037383178,32.71028037383178,95.0,0.94,51.99,12.29,1.26,-0.0117,-0.0239,-0.0479,-0.0109,0.62,698.06,138.0,560.06,165,165,165,140,140,Nuvama/Motilal managed; niche dental play; YT Subscribe for LT; defensible business
Stallion India Fluorochemicals,23-Jan-25,Specialty Chemicals,35,90,120,126.0,33.333333333333336,40.0,6.666666666666664,172.93,422.42,96.9,7.08,32.12,188.38,22.22222222222222,22.22222222222222,50.0,50.0,44.44444444444444,76.16,0.55,21.53,11.3,1.27,-0.009300000000000001,-0.0201,-0.06280000000000001,-0.0004,0.68,199.45,160.73,38.72,20,20,45,45,40,HFC/HFO specialty gas; HitBullsEye & IPO Bazaar positive; strong GMP pre-listing
Denta Water and Infra,29-Jan-25,Water Infra,35,294,330,341.25,12.244897959183673,16.071428571428573,3.8265306122449,236.94,507.27,90.56,17.29,50.63,221.68,46.93877551020408,49.31972789115646,53.40136054421769,51.02040816326531,47.61904761904762,32.94,0.01,16.21,74.49,1.22,-0.0123,-0.006500000000000001,-0.0387,0.007800000000000001,0.48,220.5,220.5,0.0,138,145,157,150,140,Karnataka infra play; moderate YouTube buzz; regional concentration risk flagged
Dr. Agarwal's Health,04-Feb-25,Healthcare/Eye Care,35,402,402,400.0,0.0,-0.4975124378109453,-0.4975124378109453,4.64,0.39,0.41,0.07,0.42,1.55,8.208955223880597,4.477611940298507,2.985074626865672,1.243781094527363,0.746268656716418,87.67,0.61,222.1,29.54,1.35,-0.0107,-0.0029,-0.036,0.0127,0.08,3027.26,300.0,2727.26,33,18,12,5,3,High valuation vs global peers; Nirmal Bang/Kotak cautious; YouTube avoid calls; flat/negative listing
Unimech Aerospace,07-Jan-25,Defense/Aerospace,35,785,1460,1376.25,85.98726114649682,75.31847133757962,-10.668789808917197,317.63,263.11,55.84,3.82,9.09,174.71,50.955414012738856,50.955414012738856,57.32484076433121,63.69426751592356,77.07006369426752,129.33,0.32,51.6,37.93,1.31,-0.0035,0.0024,-0.026,0.004099999999999999,0.88,500.0,250.0,250.0,400,400,450,500,605,Defence precision eng; GMP 305; Pranjal Kamra/Rachana: Strong Subscribe; institutional anchor heavy
Ajax Engineering,17-Feb-25,Engineering/Infra,35,629,576,595.4,-8.426073131955485,-5.341812400635933,3.084260731319552,14.41,6.46,1.9,0.28,0.49,6.43,7.154213036565978,7.154213036565978,7.94912559618442,3.179650238473768,1.9077901430842608,51.73,0.01,35.78,15.82,1.23,-0.0076,0.0033,0.0014,-0.0207,0.12,1269.35,0.0,1269.35,45,45,50,20,12,Weak debut below GMP; expensive vs JCB/Caterpillar comps; Feb 2025 market weakness
Hexaware Technologies,19-Feb-25,IT Services,35,708,745,762.55,5.2259887005649714,7.704802259886999,2.4788135593220275,9.09,0.2,0.11,0.03,0.15,2.66,1.8361581920903955,0.9887005649717514,0.7062146892655368,0.7062146892655368,0.7062146892655368,61.5,0.07,37.76,15.3,1.2,-0.0225,-0.0281,-0.0006,-0.0018,0.28,8750.0,0.0,8750.0,13,7,5,5,5,Largest IT IPO; OFS-heavy; Carlyle exit; tepid retail; institutional anchor carried subscription
