IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,Nifty 3D Return (%),Nifty 1W Return (%),Nifty 1M Return (%),Nifty During IPO Window (%),Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Ai predicted %,Slug,
Om Power Transmission,4/17/2026,Power Transmission / EPC,35,175,186,193.38,6.29,10.5,3.97,3.65,7.06,1.54,0.39,0.71,3.33,1.14,1.14,1.14,1.14,1.71,33.68,0.26,19.83,12.66,0.59,2.14,2.43,5.19,1.48,0.78,150.06,132.56,17.5,2,2,2,2,3,4.6,,
Powerica,4/2/2026,Power Solutions / Energy,35,395,366,390,-7.34,-1.27,6.07,4.5,0.44,0.15,0.01,0.03,1.45,2.28,1.01,1.01,1.27,0.76,71.88,0.29,19.55,13.03,0.27,-0.47,-0.87,-9.79,0.89,0.18,1100,700,400,9,4,4,5,3,-0.7,,
Sai Parenterals,4/2/2026,Pharmaceuticals,35,392,400,405.7,2.04,3.49,1.45,1.71,2.36,0.12,0.04,0.41,1.05,0,0,0,0,0,72.11,0.98,111.39,24.18,1.54,-0.47,-0.87,-9.79,0.89,0.62,408.79,285,123.79,0,0,0,0,0,1.4,,
Aeroplane Basmati Rice,4/2/2026,FMCG / Rice Export,35,212,200,180,-5.66,-15.09,-9.43,1.11,12.7,1.36,1.19,1.47,3.23,2.36,1.41,0.94,1.41,2.36,18.68,2.07,22.57,8.18,1.21,-0.47,-0.87,-9.79,0.89,0.22,440,440,0,5,3,2,3,3,-2.2,,
Central Mine Planning,3/30/2026,Mining Consultancy / PSU,35,172,160,154.06,-6.98,-10.43,-3.45,3.08,0.35,0.33,0.07,0.25,0.96,4.65,5.23,5.23,3.49,4.65,22.55,200,13.87,42.1,0.61,-2.54,-3.39,-12.37,-2.92,0.32,1842.12,0,1842.12,8,9,9,6,8,-3.7,,
GSP Crop Science,3/24/2026,Agrochemical,35,320,328,356.25,2.5,11.33,8.83,2.66,3.05,0.4,0.47,0.96,1.61,0,0,0,0,0,27.54,0.58,8.99,12.74,0.33,-0.39,-2.84,-10.4,-2.12,0.74,400,240,160,0,0,0,0,0,2.3,,
Innovision,3/23/2026,Manpower & Facility Services,65,519,467.7,374.2,-9.88,-27.9,-18.02,14.35,8.62,0.6,0.12,0.32,3.47,-18.3,-4.82,-4.82,-4.82,-4.82,113.87,0.97,29.88,5.79,0.26,-5.32,-3.83,-11.56,-2.76,0.15,319.25,255,64.25,-95,-25,-25,-25,-25,3.3,,
Rajputana Stainless,3/19/2026,Stainless Steel Manufacturing,35,122,122,113.03,0,-7.35,-7.35,2.51,2.59,0.27,0.3,0.42,1.12,0.82,0.82,0.82,0.82,0.82,23.27,0.66,20.89,7.92,0.9,-1.74,-2.69,-10.59,-3.62,0.41,254.98,178.73,76.25,1,1,1,1,1,1.4,,
SEDEMAC Mechatronics,3/11/2026,Auto Electronics / ECU,35,1352,1535,1451.1,13.54,7.33,-6.21,8.46,0.77,0.2,0.27,0.46,2.68,4.81,-0.74,-1.48,0.74,2.59,57.14,0.21,62.02,19,1.09,-2.39,-2.51,-7.73,-4.02,0.66,1087.45,0,1087.45,65,-10,-20,10,35,5.7,,
Omnitech Engineering,3/5/2026,Precision Engineering,35,227,202,204.93,-11.01,-9.72,1.29,2.86,0.73,0.33,0.16,0.26,2.28,-4.41,1.76,1.76,2.2,2.2,70.18,1.6,50.56,34.31,0.72,-1.64,-2.81,-3.74,-2.59,0.28,583,418,165,-10,4,4,5,5,4.9,,
