IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price,Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,Nifty 3D Return (%),Nifty 1W Return (%),Nifty 1M Return (%),Nifty During IPO Window (%),Market Sentiment Score,Issue Size (Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5
Adisoft Technologies,30-Apr-26,Industrial Automation,35,172,205,215.25,19.19,25.15,5,98.23,120.51,47.27,1.99,3.4,77.52,5.81,5.81,5.81,5.81,9.3,NA,0.58,12.16,16.45,0.6,0.51,-0.86,3.81,2.99,NA,74.1,74.1,0,10,10,10,10,16
Mehul Telecom,24-Apr-26,Telecom Retail,35,98,108,109.94,10.2,12.18,1.61,32.5,79.74,37.41,3.64,9.99,44.99,5.1,5.1,6.12,6.12,4.08,NA,0.15,11.57,6.63,0.55,0.51,-0.86,3.81,2.99,NA,27.73,27.73,0,5,5,6,6,4
Safety Controls,13-Apr-26,Power & Energy (EPC),35,80,83,78.99,3.75,-1.26,-4.83,1.31,2.8,0.76,0.33,0.9,1.35,0,NA,NA,NA,NA,22.5,0.8,11.46,16.84,0.51,-0.86,3.81,2.99,4.48,0.05,48,48,0,0,NA,NA,NA,NA
Emiac Technologies,13-Apr-26,Technology (Digital Marketing / AI),35,98,107.8,108.79,10,11.01,0.92,1.02,5.32,3.73,0.32,0.43,3.3,0,NA,NA,NA,NA,35,0,19.8,29.83,0.57,-0.86,3.81,2.99,5.16,0.21,31.75,31.75,0,0,NA,NA,NA,NA
Vivid Electromech,7-Apr-26,Electrical Equipment,35,555,565,563.05,1.8,1.45,-0.35,1.95,1.85,0.36,0.5,0.68,1.13,0,NA,NA,NA,NA,28,0.15,19.2,18.28,0.69,1.81,3.55,-5.43,-4.18,0.02,130.54,104.56,25.98,0,NA,NA,NA,NA
Highness Microelectronics,2-Apr-26,Electronics / Defence,35,120,125,129.75,4.17,8.13,3.8,81.95,362.43,184.67,1.35,8.75,193.76,16.67,16.67,18.33,20.83,20.83,32,0.74,16.69,32.11,0.52,1.71,-2.55,-8.66,-0.41,0.92,21.67,19.84,1.83,20,20,22,25,25
Tipco Engineering,1-Apr-26,Industrial Machinery,35,89,89.25,84.79,0.28,-4.73,-5,3.2,3.29,0.66,0.29,0.55,1.95,0,NA,NA,NA,NA,20,1.12,8.18,17.91,0.41,-0.61,-2.69,-8.79,3.53,0.12,60.55,48.49,12.06,0,0,0,0,0
Speciality Medicines,30-Mar-26,Pharmaceuticals,49,124,124,125.9,0,1.53,1.53,96.24,2.01,0.85,0.84,1.01,2.34,0,NA,NA,NA,NA,25,0.17,8.79,15.6,0.35,-2.14,-0.81,-11.31,-0.87,0.15,29.14,29.14,0,0,0,0,0,0
Novus Loyalty,25-Mar-26,Technology (SaaS / Loyalty),35,146,146,146.65,0,0.45,0.45,1.38,1.56,1.82,0.83,0.97,1.63,0,NA,NA,NA,NA,38,NA,49.83,5.44,1.31,0.83,-1.98,-9.36,-1.98,0.09,60.15,48.18,11.97,0,0,0,0,0
Apsis Aerocom,18-Mar-26,Aerospace & Defence,35,110,153,160.65,39.09,46.05,5,99.96,236.97,100.24,3.37,15.57,129.41,16.36,16.36,16.36,22.73,22.73,30,NA,14.59,49.78,0.49,2.71,-0.37,-7.42,-3,0.85,35.77,35.77,0,18,18,18,25,25
